,index,sentence,originality
2677,2677,"вот именно: на семена  для  дендрологического питомника деньги  есть,  нет  лишь денег на  питание рабочим лесоповала  (питание идет  еще не  по нормам -- по средствам).",1
2678,2678,"на колыме, этом полюсе холода и жестокости в архипелаге, тот же перелом прошел с резкостью, достойной полюса.",1
2679,2679,"она обернулась к двери, как к живой:      --  стал  на пороге.",1
2680,2680,опять все поднялись.,1
2681,2681,"когда-то внушали мне и другие идеи, но с тридцатых месяцев жесткая быт обтирала нас только в этом линии : добиваться и пробиваться.",0
2682,2682,название не лгало.,1
2683,2683,* другое главное -- у нас.,0
2684,2684,да здравствует  соцсоревнование  и ударничество!,1
2685,2685,"невдалеке от меня сидел один  из  танкистов, ростовчанин, рослый хмурый старший  лейтенант.",1
2686,2686,"теоретическое же объяснение не могло бы так бодро сложиться в поспешности этих месяцев, не начнись оно еще в прошлом столетии.",0
2687,2687,потому  что ничего не срочного в те годы в нашей стране не делалось.,1
2688,2688,"и лишь когда я все это сделал, я встал пнем посреди пустой избы: что-то сказано было о  двадцать первом скором.",1
2689,2689,именно так была задержана в карлаге е.  м.  орлова  -- и из-за того не поспела к умирающей матери.),1
2690,2690,кормили  в лагере  так  (1921  г.,1
2691,2691,"пустите в концлагерь, я не буду!..",0
2692,2692,-- но в одиннадцатом получасу возвращается дневная дежурство.,0
2693,2693,"с девяти утра качает тёса, топает, собирается, относит вещицы в каптерку ночная дежурство.",0
2694,2694,384       8 но вообще-то на русской каторге xix века  шло развитие обратное: труд становился вс?,1
2695,2695,"моя же короткая поприще на поприще продлилась несколькими неделями дольше акимовской, только принесла она мне не неудовлетворение, как я ждал, а постоянное душевное порабощение.",0
2696,2696,на  мылге  питались ягелем как  олени.,1
2697,2697,приказываю немедленно  ответить  -- намерены ли вы немедленно (языч?к-то)... взяться по-настоящему за работу...  и  заставить  добросовестно работать  ту часть  инженеров  (какую?,1
2698,2698,"и взоры начальства естественно  переведены были по соседству на соловецкие острова с уже  налаженным  хозяйством,  с  каменными  постройками,  в  двадцати-сорока километрах  от материка  --  достаточно  близко для  тюремщиков,  достаточно удаленно для беглецов, и полгода без связи с материком -- крепче орешек, чем сахалин.",1
2699,2699,"теперь я понял, что видел ту вторую матрену не раз.",1
2700,2700,"и  так это начинает запоминаться, как будто ни до не сажали, ни после, а только вот в 37-м -- 38-м.",1
2701,2701,и тогда-то оскалились волчьи зубы!,1
2702,2702,признак хорошего тона -- вс?,1
2703,2703,"и если  начинался  плач, все  женщины, хотя  бы  зашли  они  в избу  из  пустого  любопытства, --  все  обязательно подплакивали от двери и от  стен,  как бы  аккомпанировали хором.",1
2704,2704,"25 сборник ""от тюрем..."", стр.",1
2705,2705,сын мой  учится  у  вас.,1
2706,2706,"-- троллейбусы -- красные, автобусы -- голубые, кучка -- в белом и пестром, -- да видят ли они сами, давясь при приземлении, эти мазки?",0
2707,2707,а  он стихово'й  какой-то попался.,1
2708,2708,"и в ночь на  15 октября 1929 года, всех разогнав и заперев по помещениям, святые ворота, обычно запертые, открыли для краткости пути на кладбище.",1
2709,2709,"я вот сейчас только акрилонитрила добыл -- и то сл? зы текут : -- в `` руководящих серединах '' 1919-го : раз кару не есть расплату, то не должно быть никаких компонентов истязания ; -- в 1920-м месяце : запретить называть заключ? нных на `` ты ''.",0
2710,2710,"и  уже падающим и упавшим, разостланным по земле, он последним хрипом получасового учения,  исповедью  сути  соловецкой обещает:      -- сопли у мертвецов сосать заставлю!",1
2711,2711,только не попадите на общие!,0
2712,2712,или свой личный опыт?,1
2713,2713,заключ? нный перед каждым субботой трусится : дадут или не дадут?,0
2714,2714,три да три.,1
2715,2715,"одни, поблагоразумней или  потрусоватей,  умягчили свой режим,  разговаривать  стали  почти  ласково,  особенно  в  недели   военных поражений.",1
2716,2716,что  хватают  по ложным  доносам!,1
2717,2717,как и ныне наши журнала пишут?,0
2718,2718,"-- о, не только согласен, но, боже, пошли мне такую быт!",0
2719,2719,"все было месиво  --  ни ног,  ни  половины туловища, ни левой руки.",1
2720,2720,расширялся гумз нквд.,1
2721,2721,"перенос значения понятен: концентрационный   лагерь  для   пленных  не  есть  тюрьма,  а   необходимое предупредительное    сосредоточение   их.",1
2722,2722,"а  от  других соловчан он узна?т  и  пострашней,  чем  видят его глаза.",1
2723,2723,"в тот год повелось по две --  по три иностранных делегации в неделю принимать, провожать  и  возить по многим городам, собирая митинги.",1
2724,2724,-- ходила матрена среди молящихся.,1
2725,2725,"о, это не концлагерь!",0
2726,2726,"вызывали  однажды,  та приехала  злая очень,  велела  матрене,  как отлежится,  приходить на  медпункт  самой.",1
2727,2727,"15.9.19 ильич отвечает ему: ""...для нас ясно, что  и   тут   ошибки   были"",  но   ""какое   бедствие,   подумаешь!",1
2728,2728,это лучше всего  смогли  бы бывшие  военные.,1
2729,2729,1945 губаста. ),0
2730,2730,"23 там же, стр.",1
2731,2731,-- чем командовали?,0
2732,2732,уже  закруживалось пугающее дыхание зимы -- и  щемило сердца.,1
2733,2733,"но  главная опора,  конечно -- на  социально  близких, т о   е с т ь на воров!",1
2734,2734,а что нужно для этого?..,1
2735,2735,тусклое  матренино  зеркало  завесили  широким  полотенцем  старой  домашней вытоки.,1
2736,2736,-- до них ручонки не дошли.,0
2737,2737,"приметное связанное с расстрелами, и засыпали те шурфы.4  на тех  же приисках,  где  расстрелы  не велись -- зачитывались или вывешивались афишки с кружными буквами  фамилий и мелкими мотивировками: ""за контрреволюционную агитацию"",  ""за  оскорбление  конвоя"",  ""за  невыполнение нормы"".",1
2738,2738,"но  и  этого  всего  казалось   мало,  еще  недостаточно  режимно,  еще недостаточно уменьшалось  количество заключ?нных.",1
2739,2739,"например, встречи с родными ( в подмосковных концлагерях всюду настежь разрешенные ) он давал через две решётки, как в концлагере.",0
2740,2740,а  у нее не было.,1
2741,2741,"хотя замначальник концлагеря -- мать родной для своих зеков, но всегда неохотно признает и подпишет осейна, что в травму виноват сам заключ? нный, а не изготовление ; не будет чрезвычайно уж настаивать, что заключ? нным нужна спецобувь или в каком-то мастерской кондиционирования нет ( нет, так нет, что ж поделаешь, временные затруднения, а ка ' к в ленинградскую войну?... )",0
2742,2742,а  второе  -- накидка газовая со стеклярусом: эра равенства --  и новые соловки!,1
2743,2743,"о карательной политике было признано, что она недостаточна.",1
2744,2744,"-- что ж, платили вы ей?",1
2745,2745,"(очевидно, лагерь был близкий, поэтому надо было упаковывать.)",1
2746,2746,-- это тонкие тощие противопотоки -- но иногда они пробиваются.,1
2747,2747,но что так тихо?,1
2748,2748,"происхождения"", за  ""бывшее соц.",1
2749,2749,уже  была  и  борьба за  т?плые места ухватками подобострастия  и  предательства.,1
2750,2750,"они легли на поприще в ольховом, обнажили свои толстые короткие ручонки, ступни, жирные татуированные груди, живота, и сладко загорали после сырого чердака шизо.",0
2751,2751,"ну, состязаясь с теми  ста  двадцатью.",1
2752,2752,но пили недолго -- темнота  заставляла  спешить.,1
2753,2753,"*         ""только е'ти можут  нас понимать, хто кушал разом с нами с одной чашки"" (из письма гуцулки, бывшей зэчки)       то, что  должно найти место в этой части -- неоглядно.",1
2754,2754,нужно ему для правильного руководителя.,0
2755,2755,"но  когда  задумано  было  огромной  мешалкой  перемешать  все  сто восемьдесят  миллионов, когда отвергнут  был план  сверх-индустриализации  и вместо него погнали сверх-сверх-сверх-индустриализацию,  когда уже  задуманы были и раскулачивание и обширные общественные  работы первой пятилетки, -- в канун  года  великого перешиба  изменился  и взгляд  на  архипелаг  и  вс?",1
2756,2756,"дряблым европейским февралем он выхватил меня из нашей узкой стрелки к балтийскому морю, где окружили не то мы немцев, не то они нас -- и лишил только привычного дивизиона да картины трех последних месяцев войны.",1
2757,2757,погибнешь.,0
2758,2758,"это -- идеальные обстановки : никто не смеет замедлиться, бок разогнуть, испарины обтереть, пока на горе не дурачащийся? т стяг -- условный диакритический привала.",0
2759,2759,в  некоторых  лагерях  (нутром предчувствуя направление будущей политики!),1
2760,2760,согласен.,0
2761,2761,ид?т?,1
2762,2762,"фонд 393, опись 13, дело 1в, лист 111.",1
2763,2763,"из губернских тамбовских данных 1921-го месяца видно, например, что уже тогда многие председатели кпрф пытались уклоняться от митингов -- и введена была пометка о неявившемуся на митинг в партийной уч? тной талону.",0
2764,2764,"телогрейка эта была мне память, она грела меня в тяжелые годы.",1
2765,2765,"тех же, кого не расстреливали, а сажали в самые ранние концлагеря -- сажали туда не для уточнения, а для утилизации, для чистой изолировавшего.",0
2766,2766,на украине концентрационные лагеря  были созданы с опозданием -- только в 1920 году.,1
2767,2767,"некто в гражданском ко мне подошел, глаза проверяющие.",1
2768,2768,"теперь секретарь есть, да  печати у него нет.",1
2769,2769,"до всякого френкеля уже говорили:  ""исправление  через  труд""  (а  понимали  еще   с   эйхманса  как ""истребление через труд"").",1
2770,2770,"вбегали неожиданно с диким гиком, с сборной : `` вста-ать подле с кроватями! ''",0
2771,2771,-- тридцать  тысяч человек не спит!,1
2772,2772,от одного названия веселела душа.,1
2773,2773,1 и только  сами монахи показались ему для соловков грешными.,1
2774,2774,так обе они шли в тюрьму -- с гордостью и радостью.,1
2775,2775,да!,1
2776,2776,"5 изд., т.",1
2777,2777,"разумеется,  они  отреклись.",1
2778,2778,"дворик не  был крыт, но в доме  многое было под  одной связью.",1
2779,2779,"ах да, военная.",1
2780,2780,"да... понимаю... облетали листья, падал снег -- и потом таял.",1
2781,2781,"она пыталась перетаптываться, тем согреваясь, дежурств? хыйхэ высунулся и крикнул : `` стой неподвижно, б...., хуже будет! ''",0
2782,2782,"прежде всего  никуда не годилась охрана,  это не лагеря были  вовсе: на вышках  часовые только  по  ночам; на  вахте одинокий невооруженный  вахт?р, которого можно  уговорить и  пройти  на  время; фонари на  зоне  допускались керосиновые;  несколько десятков  заключ?нных сопровождал на работу одинокий стрелок.",1
2783,2783,после  расстрела   гаранина расстреляли  и всех  их.,1
2784,2784,"естественно приходилось кого расходовать на месте, а кого арестовывать.",1
2785,2785,"служебным закрытым изданием изданные, никем в ручонках не держанные, еще ли сохранились они в гулаговских шкатулках или все сожжены как вредительские -- никто не знал.",0
2786,2786,"а уж взят -- пути назад нет, сделанного не воротишь.",1
2787,2787,как-то и не отвязаться.,1
2788,2788,"тут  вмешалась  неугомонная   анна скрипникова, уже  к  тому времени, несмотря  на свою  молодость  и молодость советской  власти,   арестованная   четв?ртый  раз.",1
2789,2789,"в гнездо  бесправия,  произвола и  молчания  прорывается  сокол  и буревестник!",1
2790,2790,это кто же?,1
2791,2791,"в  школу он приходил как  бы отдыхать, за партой сидел  и улыбался лениво.",1
2792,2792,"раз `` степень социальной защищающего '' -- тогда понятный, на бойне как на бойне, надо или расстреливать ( `` высшая степень социальной защищающего '' ) или держать в концлагере.",0
2793,2793,"а если считать их приводными ремешками, -- от них крутится.",0
2794,2794,"волновалось  и  начальство:  как  могло,  прятало  уродство   и  лощило показуху.",1
2795,2795,"еще были они далеко, но как  подтолкнуло меня, что это к нам.",1
2796,2796,"человек,  внутренне  не  подготовленный к  насилию,  всегда  слабей насильника.",1
2797,2797,"эти  три осоргинских  дня, как и другие случаи, показывают, насколько соловецкий режим еще не  стянулся панцырем  системы.",1
2798,2798,"жесткое физиономию, и крючковатые красной шарфа перематываются на е?",0
2799,2799,"стало  быть,  если  б заключ?нные не  были привлечены к работе, они по новой конституции должны были быть лишены пайки.",1
2800,2800,9.,1
2801,2801,"и наконец, еще есть разряд людей, у которых грудь  слишком переполнена, глаза слишком много видели, чтобы  можно  было выплеснуть  это  озеро  в  нескольких  бессвязных выкриках.",1
2802,2802,"ротные, взводные,   отдел?нные  --  все   из  своей  среды.",1
2803,2803,"и, с отепл?нностью всегда сурового лица сказал бесстрашно, раздельно:      -- желаю вам -- счастья -- капитан!",1
2804,2804,"от меня за тонкостью многих колючих проводов, а от дежурства в двух полушагах, под ярким фонар? якістей, понуренно стоит наказанная женщина, ветерок далеко? ргает е?",0
2805,2805,"блатным  еще  последовательней  отдавали  все ""командные  высоты"" в лагере.",1
2806,2806,"--  курилко начинает учение:      -- здравствуй,  первая карантинная рота!..",1
2807,2807,даже  были случаи  возврата  с  дороги  уже  освобожденных.,1
2808,2808,ихним отцом строенный.,1
2809,2809,мне не протягивал!),1
2810,2810,"если хикматов будет умеренный, то все эти величины объ? мов соберутся в какую-то графа, и объяснять их будет уже вснх.",0
2811,2811,"50, стр.",1
2812,2812,какова же точка зрения авторского коллектива на предмет?,1
2813,2813,"приносил  я из  химического кабинета буры, и, смешивая  с  тестом, мы их травили.",1
2814,2814,"так что ""ежовые рукавицы"" готовились и без ежова.",1
2815,2815,"только вольным -- молоко, сметана, да свежее мясо, да отменная  капуста отца  мефодия.",1
2816,2816,"тогда-то, еще до первого выстрела второй мировой войны, еще когда вся европа танцевала  фокстроты,  -- в  мариинском  распреде (внутрилагерной пересылке  мариинских лагерей) не  успевали бить  вшей и сметали их с одежды полыневыми метелками.",1
2817,2817,"(вот загадка: пятьдесят восьмую с порога не принимали, кто ж им разлагал?",1
2818,2818,эти две недели матрена  ходила  как потерянная.,1
2819,2819,"увидел,      не вс?",1
2820,2820,"о, счастлив королевство лондон, имея такого проницательного осла в свойстве суда!",0
2821,2821,"но и со контактами среди идиотов влиятельных, откуда узна? т все лагерные известия и предстоящие изменения, это мо?",0
2822,2822,-- он прищурился и подумал.,0
2823,2823,вот  и слон на деньгах и на  клумбе.,1
2824,2824,"с  6 июля  -- туда  же погнали и левых эсеров, коварнее  и дольше притворявшихся  союзниками единственной  последовательной партии пролетариата.",1
2825,2825,знал английский язык и скрывал это.,1
2826,2826,"но вот незадача: польша приносит извинения,  единичный убйца  войкова17 арестован там, -- как же и над кем же выполнить призыв поэта:       ""спайкой,  стройкой,   выдержкой    и расправой      спущенной своре шею сверни!""",1
2827,2827,"в  феврале  -- запрет свиданий  по  всему  белбалтлагу -- то ли  угроза сыпного тифа, то ли нажим на зэков.",1
2828,2828,"`` так как же ты мог составить фальшивый осейна, трам-та-ра-рам?! ''",0
2829,2829,так глотает новичок соловецкого  духа!,1
2830,2830,а теперь -- коллективная ответственность!),1
2831,2831,"прозябала и экономчасть во  главе  с  н.  френкелем  --  заведывала  ""торговлей"" с  внешним  миром и несуществующей ""промышленностью""; еще  не прометились  пути е?",1
2832,2832,"не  только тьма, но  глубокая какая-то тишина опустилась  на  деревню.",1
2833,2833,"обслуживать беломорканал было  на  месте некому, прислали раскулаченных (""спецпереселенцев""), берман сам выбирал места для их поселков.",1
2834,2834,"утром вы уходите на деятельность, как снимаются монголы со автостоянки, даже чище : вы не оставляете ни пепла костров, ни обглоданных черепов животных, спальня пуста, хоть шариком покати, хоть заселяй е?",0
2835,2835,-- старого государства!,0
2836,2836,"покинуло нас, даже облако предварительно с палачами : псы на облаке, как и на почве, на поводках у конвойных.",0
2837,2837,"же  остальное,  что  сложилось  теперь  в   традиционное  и   даже литературное представление  об аресте, накопится и состроится уже не в вашей смятенной памяти, а в памяти вашей семьи и соседей по квартире.",1
2838,2838,на дне какого канала утопить нам это прошлое??!,1
2839,2839,"потом все ж походили из комнаты в комнату, позвонили, поскрипели и отпечатали мне в приказе: ""торфопродукт"".",1
2840,2840,уж тем более он никогда  не готовил  уроков дома.,1
2841,2841,за что?!..,1
2842,2842,"уже гроза, но будем трудиться!",1
2843,2843,с.,1
2844,2844,"козе она  выбирала  из подполья  самую мелкую картошку, себе --  мелкую, а  мне --  с куриное яйцо.",1
2845,2845,"у них  -- большая теория, не надо  думать в простоте, что е?",1
2846,2846,и  что значит -- нельзя было думать о режиме?,1
2847,2847,"сам он от типу не брал в ручонки кайла, вовек не катал и тележки, уголька не добывал, тайге не валил, не знаем, как колол дровишки, -- но вот написал это на бумажке, и она не сопротивилась.",0
2848,2848,"некоторые изнутри кричали,  но трактор отцеплялся  и  на  сутки  уходил.",1
2849,2849,-- лишь в понедельник  зэки  узнавали  от расконвоированных и  от  вольных.,1
2850,2850,"это худшее еще взбудоражено, еще перемучено в вас опережающими слушками о концлагерях : только не попадите на общие!",0
2851,2851,"поматюгался замначальник, но теперь уже рано драценко наказывать : им держится.",0
2852,2852,стирается из нашей  памяти.,1
2853,2853,"председатель его, горшков, свел под корень  изрядно гектаров леса  и выгодно сбыл в одесскую область, на том свой колхоз и возвысив.",1
2854,2854,"в губерниях  и уездах там и здесь  арестованы были митрополиты и архиреи, а уж за  крупной рыбой,  как всегда, шли  косяки  мелкой --  протоиереи, монахи и дьяконы, о которых  в газетах  не  сообщалось.",1
2855,2855,"9 у меня есть личное предположение, я выскажу его в другом месте.",1
2856,2856,"я не удвоил и вообще-то ни на одну тележку выработка при мне не изменилась -- и матронина, не щадя, ругала меня при мазае и при рабочих, в бабьей башке своей не умещая того, что знает последний лейтенант : что даже сержанта нельзя ругать при солдате.",0
2857,2857,и пришлось добывать между человеческими черепами : серебро дороже.,0
2858,2858,"в петроградской  ""красной газете"" от 6 сентября 1918 читаем, что первый концентрационный лагерь ""будет устроен в нижнем новгороде, в  пустующем женском монастыре... в первое время предположено отправить  в н.  новгород  в  концентрационный  лагерь  5 тысяч человек"" (курсив мой -- а.",1
2859,2859,"-- по всей деревне тебя ославят, если что им не так.",1
2860,2860,"ничего, берем!",1
2861,2861,"со своей толковой четвёркой драценко, не выходя из комнаты, составил осейна и `` нашел '' весь недостающий тайгу.",0
2862,2862,возникала проблема: расстелить перед ним территорию этой страны -- и не дать е?,1
2863,2863,"ну как подчиниться и  смотреть, что кто-то возьм?тся неумеючи и  шалопутно?",1
2864,2864,тупые!,0
2865,2865,"все отзывы ее о матрене были неодобрительны: и нечистоплотная она была; и  за обзаводом не гналась;  и не бережна'я; и  даже  поросенка  не держала, выкармливать  почему-то не любила; и, глупая, помогала чужим людям бесплатно (и  самый повод вспомнить  матрену  выпал  --  некого  было  дозвать  огород вспахать на себе сохою).",1
2866,2866,"если  с  лета  1920  года, когда гражданская война еще  не  вся и  не  всюду кончена, но  на  дону  уже кончена, оттуда, из  ростова  и новочеркасска, во множестве отправляют офицеров в архангельск, а дальше баржами на соловки (и, говорят, несколько барж потоплено в белом море) как впрочем, и в  каспийском море  -- то относить ли это вс?",1
2867,2867,"дело в том, что  объявлена  была  по стране (не в  газетах, конечно) борьба с  проституцией, и  вот хватали их  по  всем крупным  городам, и всем по  стандарту лепили  три  года, и многих гнали  на соловки.",1
2868,2868,ей-богу правда!,1
2869,2869,но и воля уже изгоняла е?,1
2870,2870,"1 ленин, собр.",1
2871,2871,"даже  в   мае   1934  года  еще  половина  зэков  дмитлага  были ""неорганизованные"",  их...  не  принимали  в  трудколлективы!",1
2872,2872,"лагерный закупающий тухтит, сколько надо для лесоповальных батальонов, и при? мщик сплавконторы на мо?",0
2873,2873,"1963, 2 febr.",1
2874,2874,"с кем еще примерно можно сравнивать ситуация китайцев острова -- это с заводскими крепостными, уральскими, алтайскими и нерчинскими.",0
2875,2875,"фаддей, не присаживаясь,  метался  то  на  поселок,  то на станцию,  от начальства к  начальству,  и с  неразгибающейся спиной,  опираясь  на посох, просил каждого снизойти к его старости и дать разрешение вернуть горницу.",1
2876,2876,"однако государственности не было экономического и организационного значения делать эти лишние передвижения, кого-то из концлагеря на войско, а кого-то вместо него в концлагерь.",0
2877,2877,точный смысл этих добавлений я оценил позже.,1
2878,2878,"но будто лишившись речи на островах архипелага, они хранили молчание.",1
2879,2879,но  вс?,1
2880,2880,"и, простодушно глядя блекло-голубыми глазами,  спрашивала: -- ну, а к ужо'ткому что вам приготовить?",1
2881,2881,"они дружат с ээками,  они укрывают беглецов.",1
2882,2882,"кто-то скорчился под опрокинутой тачкой,  спрятал  руки в рукава и так  зам?рз.",1
2883,2883,"тут заметил я,  что  она в  моей  телогрейке, уже  измазала рукава  о льдистую грязь бревен, -- и с неудовольствием сказал  ей об этом.",1
2884,2884,а тут бойня.,0
2885,2885,а  про мешки?..,1
2886,2886,235.,1
2887,2887,и е?,0
2888,2888,"вот у этого входа представьте стиснутую толпу: три с половиной  тысячи валят к себе, возвращаясь с работы.",1
2889,2889,"после суток армейской контр-разведки; после тр?х суток в контр-разведке фронтовой, где однокамерники меня уже образовали (в следовательских обманах, угрозах, битье; в том, что однажды арестованного никогда не выпускают назад; в неотклонимости десятки) -- я чудом вырвался вдруг и вот уже четыре дня еду как вольный, и среди вольных, хотя бока мои  уже лежали  на гнилой соломе  у параши, хотя глаза мои уже видели  избитых и  бессонных, уши слышали истину, рот отведал баланды  --  почему ж я молчу?",1
2890,2890,-- на 63 тыс.,1
2891,2891,существование.,1
2892,2892,"еще суета  большая выпадала матрене, когда подходила ее очередь кормить козьих   пастухов:  одного  --  здоровенного,  немоглу'хого,  и  второго  -- мальчишку с постоянной слюнявой цигаркой в зубах.",1
2893,2893,"или на самодеятельные, рвущиеся из груди:          ""и даже самою прекрасной песнею         мы не расскажем, нет, не воспоем,         страны, которой нет нигде чудеснее,         страны, в которой мы с тобой жив?м.",1
2894,2894,же навык судов до середины 1918 года по инерции приговаривать вс?,1
2895,2895,"увидев  на  себе холодный глаз  объектива, матрена принимала  выражение  или натянутое, или повышенно-суровое.",1
2896,2896,но осложнялась  е?,1
2897,2897,"вместо  монастырских  каменных  зданий  --  продуваемые  временные бараки, а то палатки, а то и просто на снегу.",1
2898,2898,а интересно -- сколько?,1
2899,2899,"здесь называют последнюю княгиню вяземскую, виднейшую послереволюционную стукачку (стукачом был и сын е?",1
2900,2900,"мы не могли бы тогда понять, даже скажи нам, что избрали стандартное для армейцев холопское середина полсрока.",0
2901,2901,очень уж они на меня наседали.,1
2902,2902,"что ж, воровали раньше лес у барина, теперь  тянули торф у треста.",1
2903,2903,я закутался в ватник -- мо? -таки холодновато от резкого ветерка.,0
2904,2904,а  вдуматься  --  нет!,1
2905,2905,не просторней жив?т 13-я рота у  преображенского собора  в примыкающем корпусе.,1
2906,2906,тотчас же она  или хваталась за лопату и копала картовь.,1
2907,2907,"я вздыхаю, выхожу из прикрытия, и иду вдоль рельсового дороге на комбинат мокрого электролитического -- докладываться.",0
2908,2908,мы просто заслужили вс?,1
2909,2909,-- на участке от р. печоры до  воркуты.,1
2910,2910,а повторникам или прибалтам не тяжче был 48-й -- 49-й?,1
2911,2911,"а весной и большую часть лета -- белые ночи,  далеко видно  дежурным  катерам.",1
2912,2912,"спор шел  о том, как везти сани -- порознь или вместе.",1
2913,2913,""", и  еще лучше  ""от нас -- вс?, нам -- ничего!",1
2914,2914,"а если какие акрилонитрила у экономистов сошлись сардонически, так подымайте из могилки стучку, волоките жданова -- и пусть разбираются.",0
2915,2915,"надо  украшать"".",1
2916,2916,"а еще почему-то вчера все особняка и столбики украшены стягами и флагами, какой-то неожиданный празднество -- 14 июня, совпавший с празднеством нашего освобождающего из концлагеря.",0
2917,2917,"наступил солнечный день, и повеселело на  душе.",1
2918,2918,42  у нас  вс?,1
2919,2919,"и хотя матрена васильевна вынудила меня походить еще по деревне, и хотя в мой второй приход долго отнекивалась:      -- не умемши,  не вар?мши -- как  утрафишь?",1
2920,2920,"если на воле --  шесть условий  товарища сталина -- каждый лагерник должен зубрить их наизусть!35  если на воле -- постановление совнаркома об увольнении  за прогул, -- здесь разъяснительная работа: всякий сегодняшний  отказчик и симулянт после своего  освобождения будет  заклеймен презрением  масс  советского  союза.",1
2921,2921,и пароходов нет.,1
2922,2922,"они  слишком полюбили  канал, чтоб отсюда уехать!",1
2923,2923,"47, д.",1
2924,2924,"но законодательно это было объявлено уже после июльского переворота, именно  23  июля 1918 года -- во ""временной инструкции о лишении свободы""11: ""лишенные  свободы и трудоспособные  обязательно привлекаются  к физическому труду"".",1
2925,2925,"-- разве уж догадаются, враги, -- улыбалась она, вытирая пот со лба, -- а то ни в жисть не найдут.",1
2926,2926,"и после полного открытия очередного кладовой на него еще много месяцев потом ездили с соседних лагпунктов за бесхозными сухими дровишками и жгли в печках окор? нную рудстойку, на которую столько мучений положено было при вывозке.",0
2927,2927,"и  еще  то  достоинство  у  ночных арестов,  что  ни соседние  дома, ни городские улицы  не  видят, скольких  увезли за ночь.",1
2928,2928,"а ленинграду что'  тридцать седьмой, когда прежде был тридцать пятый?",1
2929,2929,"но  она  успокоилась,  оперлась о спинку  стула  перед  собой  и певуче рассказывала:      -- ой-ой-ойиньки, головушка бедная!",1
2930,2930,"здесь не перечислить, во скольких бытовых мелочах был зажат и  острожен лагерный  режим.",1
2931,2931,"как я после обдумал, -- я был для столовой силуэтом еще неясной : еле приехав, тотчас возн? сся ; держался горделиво, ходил в военном.",0
2932,2932,"но я помнил:      -- прочила, верно.",1
2933,2933,"кто  попадал  под  это  широкое  определение  насекомых, нам  сейчас не исследовать в полноте: слишком  неединообразно  было российское население, и встречались среди  него обособленные,  совсем не нужные,  а теперь и забытые малые группы.",1
2934,2934,"то  не могла  быть чума или  оспа,  как  предполагали  соловчане,  потому что  те  две  болезни  уже полностью  были  побеждены  в  советской республике,  -- а  назвали  болезнь ""азиатским тифом"".",1
2935,2935,стали-таки платить ей рублей восемьдесят пенсии.,1
